JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458891.045,12.782,0.055,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.279|VERR=0.029|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1526|CX=1.1522|KX=1.1524|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.147,Z,14.204,15.198,,AH HER,AAVSO,STD,111,,,
2458891.046,12.788,0.051,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.293|VERR=0.027|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1507|CX=1.1502|KX=1.1504|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.145,Z,14.211,15.275,,AH HER,AAVSO,STD,112,,,
2458891.046,12.742,0.032,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.266|VERR=0.027|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1489|CX=1.1484|KX=1.1486|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.143,Z,14.22,15.212,,AH HER,AAVSO,STD,113,,,
2458891.047,12.727,0.03,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.271|VERR=0.027|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1469|CX=1.1464|KX=1.1467|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.141,Z,14.237,15.232,,AH HER,AAVSO,STD,114,,,
2458891.047,12.729,0.029,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.271|VERR=0.027|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1450|CX=1.1445|KX=1.1447|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.139,Z,14.235,15.26,,AH HER,AAVSO,STD,115,,,
2458891.048,12.432,0.042,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.326|VERR=0.034|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1426|CX=1.1421|KX=1.1423|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.136,Z,15.024,15.593,,AH HER,AAVSO,STD,111,,,
2458891.049,12.404,0.041,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.329|VERR=0.034|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1412|CX=1.1407|KX=1.1409|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.135,Z,15.046,15.571,,AH HER,AAVSO,STD,112,,,
2458891.049,12.483,0.041,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.348|VERR=0.032|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1399|CX=1.1394|KX=1.1396|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.134,Z,15.02,15.62,,AH HER,AAVSO,STD,113,,,
2458891.049,12.471,0.041,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.379|VERR=0.032|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1385|CX=1.1381|KX=1.1383|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.133,Z,15.063,15.621,,AH HER,AAVSO,STD,114,,,
2458891.05,12.468,0.041,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.297|VERR=0.033|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1372|CX=1.1368|KX=1.1370|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.131,Z,14.983,15.586,,AH HER,AAVSO,STD,115,,,
