JD,Magnitude,Band
81.87000000011176,11.747,B
82.86799999978393,12.19,B
82.86899999994785,12.192,B
82.87000000011176,12.298,B
82.87099999981001,12.247,B
83.8640000000596,12.806,B
83.86500000022352,12.81,B
83.86599999992177,12.901,B
83.86599999992177,13.525,B
84.8410000000149,14.497,B
84.84200000017881,14.519,B
84.84299999987707,14.433,B
84.84299999987707,14.505,B
85.82599999988452,16.136,B
85.82700000004843,16.015,B
85.82700000004843,15.992,B
85.82800000021234,16.08,B
86.87300000013784,14.847,B
86.87399999983609,17.056,B
86.875,16.785,B
86.87600000016391,17.07,B
87.82500000018626,15.032,B
87.82599999988452,17.13,B
87.82599999988452,17.07,B
87.82700000004843,17.151,B
88.82500000018626,17.36,B
88.82599999988452,17.296,B
88.82700000004843,17.388,B
88.82700000004843,16.954,B
91.82800000021234,17.025,B
91.8289999999106,17.262,B
91.8300000000745,17.283,B
91.8300000000745,17.391,B
92.82500000018626,16.506,B
92.82599999988452,16.194,B
92.82700000004843,16.566,B
92.82800000021234,16.27,B
94.83300000010058,16.009,B
94.83300000010058,15.251,B
94.83399999979883,15.27,B
94.83499999996275,15.368,B
95.84899999992922,14.266,B
95.85000000009313,14.371,B
95.85000000009313,13.511,B
95.85099999979138,13.771,B
96.82599999988452,13.289,B
96.82700000004843,13.066,B
96.82700000004843,13.324,B
96.82800000021234,12.999,B
97.83600000012666,11.498,B
97.83699999982491,11.38,B
97.83699999982491,11.334,B
97.83799999998882,11.627,B
98.82500000018626,10.48,B
98.82599999988452,10.544,B
98.82700000004843,10.57,B
98.82700000004843,10.711,B
99.84500000020489,10.062,B
99.84599999990314,9.736,B
99.84700000006706,9.988,B
99.84800000023097,9.835,B
101.83600000012666,9.132,B
101.83699999982491,9.208,B
101.83799999998882,9.401,B
101.83799999998882,9.391,B
102.7949999999255,8.645,B
102.7949999999255,8.557,B
102.7960000000894,8.564,B
102.79699999978766,8.702,B
103.79000000003725,8.894,B
103.79000000003725,8.877,B
103.79100000020117,8.892,B
103.79199999989942,8.803,B
104.78500000014901,9.736,B
104.78599999984726,9.815,B
104.78700000001118,9.761,B
104.78800000017509,9.794,B
105.81499999994412,9.953,B
105.81600000010803,10.327,B
105.81600000010803,10.267,B
105.81699999980628,10.118,B
106.81699999980628,12.012,B
106.8179999999702,12.009,B
106.81900000013411,12.01,B
106.81900000013411,12.035,B
116.75499999988824,15.461,B
116.75499999988824,15.513,B
116.75600000005215,15.586,B
116.75600000005215,15.647,B
116.75700000021607,15.667,B
116.75700000021607,15.708,B
116.75799999991432,15.681,B
116.75799999991432,15.591,B
117.7960000000894,15.29,B
117.79699999978766,15.415,B
117.79799999995157,15.482,B
117.79799999995157,15.446,B
119.76699999999255,15.557,B
119.76800000015646,15.437,B
119.76899999985471,15.306,B
119.76899999985471,15.434,B
120.77900000009686,14.548,B
120.77900000009686,14.903,B
120.77999999979511,15.076,B
120.78099999995902,14.992,B
124.78899999987334,12.485,B
124.79000000003725,13.447,B
124.79000000003725,13.451,B
124.79100000020117,13.41,B
127.72899999981746,10.136,B
127.72999999998137,10.034,B
127.73100000014529,11.715,B
127.73100000014529,11.615,B
127.76800000015646,11.646,B
127.76899999985471,11.586,B
127.76899999985471,11.666,B
127.77000000001863,11.663,B
128.77499999990687,11.818,B
128.77600000007078,11.899,B
128.77600000007078,11.873,B
128.77699999976903,11.85,B
129.78599999984726,12.106,B
129.78599999984726,12.102,B
129.78700000001118,12.191,B
129.7880000001751,12.092,B
130.75300000002608,11.606,B
130.75300000002608,11.428,B
130.75400000019,11.447,B
130.75499999988824,11.404,B
131.72599999979138,11.239,B
131.72599999979138,11.313,B
131.7269999999553,11.559,B
131.7280000001192,11.55,B
132.73400000017136,11.891,B
132.73499999986961,11.937,B
132.73600000003353,11.956,B
132.73600000003353,12.057,B
133.72599999979138,12.363,B
133.7269999999553,12.359,B
133.7280000001192,12.436,B
133.7280000001192,12.4,B
134.74000000022352,12.588,B
134.74099999992177,12.55,B
134.74200000008568,12.647,B
134.74299999978393,12.598,B
135.72999999998137,13.104,B
135.72999999998137,13.006,B
135.7310000001453,12.894,B
135.73199999984354,12.914,B
137.74299999978393,15.487,B
137.74299999978393,15.478,B
137.74399999994785,15.383,B
137.74500000011176,15.229,B
352.0610000002198,11.73,B
352.06199999991804,11.65,B
352.06199999991804,11.694,B
352.06300000008196,11.402,B
353.0570000000298,12.009,B
353.0580000001937,12.019,B
353.05899999989197,12.069,B
353.05899999989197,12.045,B
356.01800000015646,13.249,B
356.01800000015646,13.427,B
356.0189999998547,13.353,B
356.0200000000186,13.242,B
361.0490000001155,15.42,B
361.04999999981374,16.772,B
361.05099999997765,17.008,B
361.05099999997765,14.949,B
369.03200000012293,11.875,B
369.03200000012293,11.915,B
369.0329999998212,11.637,B
369.0339999999851,11.591,B
371.0339999999851,11.037,B
371.035000000149,11.007,B
371.03599999984726,11.04,B
371.03599999984726,10.001,B
372.01699999999255,10.304,B
372.01800000015646,10.383,B
372.0189999998547,10.421,B
372.0189999998547,10.441,B
373.0079999999143,9.68,B
373.00900000007823,9.773,B
373.0099999997765,9.904,B
373.0099999997765,9.791,B
377.05099999997765,12.408,B
377.05099999997765,14.824,B
377.05200000014156,14.748,B
377.0529999998398,14.726,B
380.0230000000447,15.302,B
380.0240000002086,15.351,B
380.02499999990687,15.473,B
380.02499999990687,15.211,B
384.0189999998547,14.862,B
384.0200000000186,15.008,B
384.02100000018254,14.884,B
384.02100000018254,14.946,B
385.0,14.636,B
385.0,16.73,B
385.0010000001639,14.719,B
385.00199999986216,14.713,B
385.95000000018626,14.696,B
385.9509999998845,14.522,B
385.95200000004843,14.621,B
385.95200000004843,14.625,B
386.9890000000596,13.411,B
386.9900000002235,12.134,B
386.99099999992177,12.069,B
386.99099999992177,12.06,B
387.9920000000857,11.29,B
387.99299999978393,11.265,B
387.99399999994785,9.833,B
387.99399999994785,10.04,B
388.9739999999292,12.071,B
388.9739999999292,8.973,B
388.97500000009313,8.872,B
388.9759999997914,9.382,B
392.0030000000261,9.239,B
392.00400000019,9.368,B
392.00499999988824,9.341,B
392.00499999988824,9.285,B
392.95999999996275,9.488,B
392.95999999996275,9.526,B
392.96100000012666,9.355,B
392.9619999998249,9.4,B
393.02100000018254,9.371,B
393.0219999998808,10.082,B
393.0230000000447,10.315,B
393.0230000000447,10.2,B
394.00600000005215,10.3,B
394.00700000021607,10.281,B
394.0079999999143,10.793,B
394.0079999999143,10.84,B
395.98199999984354,11.478,B
395.98199999984354,11.581,B
395.98300000000745,11.451,B
395.98400000017136,11.94,B
396.91800000006333,12.501,B
396.91800000006333,12.462,B
396.91900000022724,12.532,B
396.9199999999255,12.472,B
398.9759999997914,14.384,B
398.9769999999553,14.411,B
398.9769999999553,14.303,B
398.9780000001192,14.392,B
402.9759999997914,15.282,B
402.9769999999553,15.117,B
402.9780000001192,15.134,B
402.97899999981746,15.084,B
410.9429999999702,12.085,B
410.9429999999702,12.074,B
410.9440000001341,12.129,B
410.94499999983236,12.171,B
412.9399999999441,11.696,B
412.94100000010803,11.721,B
412.94100000010803,11.759,B
412.9419999998063,11.737,B
414.9120000000112,11.809,B
414.9120000000112,11.837,B
414.9130000001751,11.771,B
414.91399999987334,11.858,B
415.90700000012293,11.797,B
415.9079999998212,11.837,B
415.9089999999851,11.871,B
415.910000000149,11.859,B
417.8980000000447,12.441,B
417.8990000002086,12.376,B
417.89999999990687,12.097,B
417.89999999990687,12.174,B
420.8870000001043,14.936,B
420.88799999980256,14.966,B
420.8889999999665,14.9,B
420.8889999999665,13.713,B
421.88799999980256,14.887,B
421.88799999980256,15.293,B
421.8889999999665,15.26,B
421.8900000001304,14.903,B
424.8980000000447,14.428,B
424.8990000002086,14.56,B
424.89999999990687,14.816,B
424.9010000000708,14.631,B
425.8950000000186,14.514,B
425.89600000018254,14.537,B
426.87099999981,14.694,B
426.8719999999739,14.564,B
426.87300000013784,14.797,B
426.87300000013784,14.799,B
427.83900000015274,14.567,B
427.8420000001788,14.664,B
427.89999999990687,15.375,B
427.9010000000708,14.938,B
427.90199999976903,15.168,B
427.90299999993294,15.532,B
428.8859999999404,12.803,B
428.8870000001043,12.923,B
428.88799999980256,12.831,B
428.8889999999665,12.34,B
432.89099999982864,9.48,B
432.89199999999255,9.246,B
432.89300000015646,9.298,B
432.89300000015646,9.601,B
433.8829999999143,10.661,B
433.88400000007823,10.641,B
433.88400000007823,10.647,B
433.8849999997765,10.688,B
434.89099999982864,10.201,B
434.89099999982864,11.692,B
434.89199999999255,11.642,B
434.89300000015646,11.631,B
440.8950000000186,13.164,B
440.8950000000186,13.223,B
440.89600000018254,13.053,B
440.8969999998808,13.044,B
442.8330000001006,15.137,B
442.8330000001006,15.328,B
442.83399999979883,15.212,B
442.83499999996275,15.553,B
443.85699999984354,14.688,B
443.85800000000745,14.71,B
443.85900000017136,14.746,B
443.85900000017136,14.719,B
444.875,16.654,B
444.875,16.672,B
444.8760000001639,16.802,B
444.87699999986216,16.811,B
446.6439999998547,14.701,B
449.780999999959,14.102,B
449.78200000012293,13.242,B
449.78200000012293,13.117,B
449.7829999998212,13.002,B
452.84299999987707,11.363,B
452.844000000041,11.353,B
452.8450000002049,10.984,B
452.84599999990314,10.736,B
453.8549999999814,9.624,B
453.8560000001453,9.778,B
453.8560000001453,9.617,B
453.85699999984354,9.563,B
454.79999999981374,9.414,B
454.80099999997765,9.525,B
