x_fit,y_fit
1816.1287383221525,1.0
1816.1290956360854,1.0
1816.129452950018,1.0
1816.1298102639507,1.0
1816.1301675778834,1.0
1816.1305248918163,1.0
1816.130882205749,1.0
1816.1312395196817,1.0
1816.1315968336146,1.0
1816.1319541475473,1.0
1816.13231146148,1.0
1816.1326687754126,1.0
1816.1330260893455,1.0
1816.1333834032782,1.0
1816.133740717211,1.0
1816.1340980311438,1.0
1816.1344553450765,1.0
1816.1348126590092,1.0
1816.1351699729419,1.0
1816.1355272868748,1.0
1816.1358846008075,1.0
1816.1362419147401,1.0
1816.136599228673,1.0
1816.1369565426057,1.0
1816.1373138565384,1.0
1816.137671170471,1.0
1816.138028484404,1.0
1816.1383857983367,1.0
1816.1387431122694,1.0
1816.1391004262023,1.0
1816.139457740135,1.0
1816.1398150540676,1.0
1816.1401723680005,1.0
1816.1405296819332,1.0
1816.140886995866,1.0
1816.1412443097986,1.0
1816.1416016237315,1.0
1816.1419589376642,1.0
1816.1423162515969,1.0
1816.1426735655298,1.0
1816.1430308794625,1.0
1816.1433881933951,1.0
1816.1437455073278,1.0
1816.1441028212607,1.0
1816.1444601351934,1.0
1816.144817449126,1.0
1816.145174763059,1.0
1816.1455320769917,1.0
1816.1458893909244,1.0
1816.146246704857,1.0
1816.14660401879,1.0
1816.1469613327226,1.0
1816.1473186466553,1.0
1816.1476759605882,1.0
1816.148033274521,1.0
1816.1483905884536,1.0
1816.1487479023863,1.0
1816.1491052163192,1.0
1816.1494625302519,1.0
1816.1498198441845,1.0
1816.1501771581175,1.0
1816.1505344720501,1.0
1816.1508917859828,1.0
1816.1512490999155,1.0
1816.1516064138484,1.0
1816.151963727781,1.0
1816.1523210417138,1.0
1816.1526783556467,1.0
1816.1530356695794,1.0
1816.153392983512,1.0
1816.1537502974447,1.0
1816.1541076113776,1.0
1816.1544649253103,1.0
1816.154822239243,1.0
1816.155179553176,1.0
1816.1555368671086,1.0
1816.1558941810413,1.0
1816.156251494974,1.0
1816.1566088089069,1.0
1816.1569661228395,1.0
1816.1573234367722,1.0
1816.1576807507051,1.0
1816.1580380646378,1.0
1816.1583953785705,1.0
1816.1587526925032,1.0
1816.159110006436,1.0
1816.1594673203688,1.0
1816.1598246343015,1.0
1816.1601819482344,1.0
1816.160539262167,1.0
1816.1608965760997,1.0
1816.1612538900324,1.0
1816.1616112039653,1.0
1816.161968517898,1.0
1816.1623258318307,1.0
1816.1626831457636,1.0
1816.1630404596963,1.0
1816.163397773629,1.0
1816.1637550875616,1.0
1816.1641124014945,1.0
1816.1644697154272,1.0
1816.16482702936,1.0
1816.1651843432928,1.0
1816.1655416572255,1.0
1816.1658989711582,1.0
1816.1662562850909,1.0
1816.1666135990238,1.0
1816.1669709129565,1.0
1816.1673282268891,1.0
1816.167685540822,1.0
1816.1680428547547,1.0
