BJD_TDB,err_d
1703.6497157483377,0.0019660662988536487
1703.7586296576023,1.0496714462662439e-05
1703.8598599718803,0.0019773617314205448
1703.9685639468555,1.0496714462662439e-05
1704.0693324056972,1.0496714462662439e-05
1704.178498236109,1.0496714462662439e-05
1704.2792666949504,1.0496714462662439e-05
1704.3883485516465,0.0015099533292924094
1704.4892009842038,1.0496714462662439e-05
1704.5983458211863,0.0014751509476994568
1704.699135273457,1.0496714462662439e-05
1704.8083011038686,0.0014395537333065052
1704.90906956271,1.0496714462662439e-05
1705.0182353931218,0.012492954389202173
1705.1190878256791,0.003050058745309319
1705.228169682375,0.013032261205927785
1705.3289381412167,1.0496714462662439e-05
1705.4375791359053,0.004422488222311074
1705.5388724304698,1.0496714462662439e-05
1705.6438395750965,1.0496714462662439e-05
1705.7488067197232,1.0496714462662439e-05
1705.8537738643497,1.0496714462662439e-05
1705.9587410089764,1.0496714462662439e-05
1706.063729147032,1.0496714462662439e-05
1706.1686752982296,1.0496714462662439e-05
1706.2736424428563,1.0496714462662439e-05
1706.378609587483,1.0496714462662439e-05
1706.4835767321094,1.0496714462662439e-05
1706.5885438767361,1.0496714462662439e-05
1706.6935110213628,1.0496714462662439e-05
1706.7984781659893,1.0496714462662439e-05
1706.903445310616,1.0496714462662439e-05
1707.0084124552427,1.0496714462662439e-05
1707.1133795998692,1.0496714462662439e-05
1707.2183467444959,1.0496714462662439e-05
1707.3233138891226,1.0496714462662439e-05
1707.428281033749,1.0496714462662439e-05
1707.5332481783757,1.0496714462662439e-05
1707.6382153230024,1.0496714462662439e-05
1707.743182467629,1.0496714462662439e-05
1707.8481915991135,0.003140492503712836
1707.9531167568823,1.0496714462662439e-05
1708.0580839015088,1.0496714462662439e-05
1708.1630510461355,1.0496714462662439e-05
1708.2680181907622,1.0496714462662439e-05
1708.3729853353889,1.0496714462662439e-05
1708.4779524800153,1.0496714462662439e-05
1708.582919624642,1.0496714462662439e-05
1708.6878867692687,1.0496714462662439e-05
1708.7928539138952,1.0496714462662439e-05
1708.897821058522,1.0496714462662439e-05
1709.0027882031486,1.0496714462662439e-05
1709.107755347775,1.0496714462662439e-05
1709.2127224924018,1.0496714462662439e-05
1709.3176896370285,1.0496714462662439e-05
