time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1683.389915106614,7.7686524e-01,1.1923826e-02,-1.0416383e-04,328273,185.00257,1034.14086,2.2055687e+02,3.3259521e+00,3.2868762e+02,1.3176908e+00,3.3865265e+02,5.1978583e+00,0,,,,,185.00257,8.4031606e-03,1034.14086,8.8433214e-03,-1.0327809e-02,-3.5862800e-02
1683.3913039954564,8.0467153e-01,1.1971124e-02,-1.0416329e-04,328274,184.98898,1034.12493,2.2826981e+02,3.3391449e+00,3.2837527e+02,1.3193631e+00,3.5077402e+02,5.2184763e+00,0,,,,,184.98898,8.1360200e-03,1034.12493,8.5566286e-03,-9.9002728e-03,-3.2080296e-02
1683.3926928842984,7.9684889e-01,1.1977287e-02,-1.0416274e-04,328275,184.98708,1034.13846,2.2604543e+02,3.3408637e+00,3.2975964e+02,1.3203467e+00,3.4736395e+02,5.2211628e+00,0,,,,,184.98708,8.1917038e-03,1034.13846,8.6701196e-03,-8.0615440e-03,-3.1893354e-02
1683.3940817731414,8.0053931e-01,1.1990262e-02,-1.0416219e-04,328276,184.98449,1034.12985,2.2705414e+02,3.3444831e+00,3.2782355e+02,1.3241007e+00,3.4897269e+02,5.2268190e+00,0,,,,,184.98449,8.2023321e-03,1034.12985,8.6187413e-03,-1.4484892e-02,-3.3641685e-02
1683.3954706619845,8.1316251e-01,1.2027457e-02,-1.0416165e-04,328277,185.00454,1034.13992,2.3058484e+02,3.3548579e+00,3.2994763e+02,1.3217739e+00,3.5447543e+02,5.2430334e+00,0,,,,,185.00454,8.0612367e-03,1034.13992,8.5388385e-03,-8.6054038e-03,-3.1161424e-02
1683.396859550819,8.3097374e-01,1.2055016e-02,-1.0416111e-04,328278,184.99458,1034.15343,2.3541309e+02,3.3625453e+00,3.3033224e+02,1.3223224e+00,3.6223975e+02,5.2550468e+00,0,,,,,184.99458,7.9026083e-03,1034.15343,8.4016090e-03,-1.0333642e-02,-3.1687494e-02
1683.3982484396465,8.3688623e-01,1.2056409e-02,-1.0416058e-04,328279,184.99734,1034.14508,2.3724962e+02,3.3629336e+00,3.3035086e+02,1.3227645e+00,3.6481711e+02,5.2556539e+00,0,,,,,184.99734,7.8582652e-03,1034.14508,8.3419234e-03,-9.9223275e-03,-2.8861482e-02
1683.3996373284822,8.4014070e-01,1.2045613e-02,-1.0416004e-04,328280,184.98978,1034.14385,2.3809061e+02,3.3599224e+00,3.2897516e+02,1.3213687e+00,3.6623581e+02,5.2509480e+00,0,,,,,184.98978,7.8078969e-03,1034.14385,8.2744807e-03,-1.2103899e-02,-3.2596555e-02
1683.4010262173097,8.4937352e-01,1.2057318e-02,-1.0415951e-04,328281,184.98424,1034.14227,2.4072940e+02,3.3631871e+00,3.2885077e+02,1.3221358e+00,3.7026059e+02,5.2560501e+00,0,,,,,184.98424,7.7307993e-03,1034.14227,8.1814583e-03,-7.4648107e-03,-3.0876247e-02
1683.4024151061376,8.5141331e-01,1.2072306e-02,-1.0415898e-04,328282,184.98755,1034.14417,2.4113457e+02,3.3673677e+00,3.3029480e+02,1.3217289e+00,3.7114978e+02,5.2625837e+00,0,,,,,184.98755,7.7014631e-03,1034.14417,8.2307840e-03,-1.1652612e-02,-3.5481036e-02
1683.4038039949592,8.3526063e-01,1.2048396e-02,-1.0415845e-04,328283,184.98314,1034.11730,2.3684593e+02,3.3606985e+00,3.3011987e+02,1.3229476e+00,3.6410849e+02,5.2521610e+00,0,,,,,184.98314,7.8544291e-03,1034.11730,8.2585597e-03,-1.0005742e-02,-3.1901561e-02
1683.4051928837866,8.8199025e-01,1.2115847e-02,-1.0415792e-04,328284,185.00185,1034.13910,2.4992043e+02,3.3795128e+00,3.3008221e+02,1.3230163e+00,3.8447894e+02,5.2815642e+00,0,,,,,185.00185,7.4414662e-03,1034.13910,7.9275118e-03,-1.1464486e-02,-3.1089870e-02
1683.4065817726068,8.7988418e-01,1.2132040e-02,-1.0415740e-04,328285,185.00787,1034.15448,2.4926552e+02,3.3840299e+00,3.3071759e+02,1.3228492e+00,3.8356088e+02,5.2886233e+00,0,,,,,185.00787,7.5064437e-03,1034.15448,7.9719694e-03,-9.8749232e-03,-3.1059224e-02
1683.4079706614202,8.8600266e-01,1.2126517e-02,-1.0415688e-04,328286,184.99818,1034.13715,2.5097076e+02,3.3824890e+00,3.2934235e+02,1.3218201e+00,3.8622806e+02,5.2862153e+00,0,,,,,184.99818,7.4768015e-03,1034.13715,7.8519899e-03,-6.7568985e-03,-2.5211094e-02
1683.4093595502345,9.0233487e-01,1.2142701e-02,-1.0415637e-04,328287,184.98676,1034.12411,2.5541736e+02,3.3870037e+00,3.2896475e+02,1.3188443e+00,3.9334763e+02,5.2932706e+00,0,,,,,184.98676,7.3420350e-03,1034.12411,7.7045257e-03,-1.4146174e-02,-3.7984449e-02
1683.4107484390483,9.1821539e-01,1.2172760e-02,-1.0415585e-04,328288,184.99238,1034.12583,2.6004358e+02,3.3953879e+00,3.2852570e+02,1.3176121e+00,4.0027029e+02,5.3063741e+00,0,,,,,184.99238,7.2551882e-03,1034.12583,7.5826701e-03,-1.0564317e-02,-3.2038011e-02
1683.4121373278613,9.1841614e-01,1.2172474e-02,-1.0415533e-04,328289,185.00215,1034.14481,2.6004285e+02,3.3953083e+00,3.2923898e+02,1.3213906e+00,4.0035779e+02,5.3062491e+00,0,,,,,185.00215,7.2334111e-03,1034.14481,7.6399376e-03,-3.9251605e-03,-3.0085906e-02
1683.4135262166674,9.3479145e-01,1.2197528e-02,-1.0415482e-04,328290,184.98119,1034.13591,2.6455722e+02,3.4022963e+00,3.2858826e+02,1.3186969e+00,4.0749615e+02,5.3171706e+00,0,,,,,184.98119,7.1116597e-03,1034.13591,7.5143180e-03,-1.3878289e-02,-3.2672059e-02
1683.414915105473,9.5461428e-01,1.2216673e-02,-1.0415431e-04,328291,184.99829,1034.14062,2.7024136e+02,3.4076366e+00,3.2720761e+02,1.3169121e+00,4.1613736e+02,5.3255167e+00,0,,,,,184.99829,6.9364598e-03,1034.14062,7.3831566e-03,-1.1272935e-02,-3.4386516e-02
