JD,Magnitude
2452375.41541076,15.061
2452375.41601076,14.981
2452375.41661076,15.044
2452375.41721076,14.993
2452375.41781076,14.857
2452375.41842076,14.767
2452375.41901076,14.74
2452375.41962076,14.724
2452375.42022076,14.716
2452375.42082076,14.639
2452375.42144076,14.63
2452375.42203076,14.564
2452375.42263076,14.465
2452375.42322076,14.574
2452375.42382076,14.434
2452375.42441076,14.453
2452375.42500076,14.517
2452375.42560076,14.51
2452375.42619076,14.52
2452375.42680076,14.477
2452375.42740076,14.5
2452375.42800076,14.512
2452375.42859076,14.558
2452375.42920076,14.506
2452375.42979076,14.547
2452375.43039076,14.544
2452375.43100076,14.537
2452375.43160076,14.569
2452375.43220076,14.528
2452375.43280076,14.601
2452375.43342076,14.596
2452375.43401076,14.604
2452375.43461076,14.612
2452375.43581076,14.625
2452375.43641076,14.599
2452375.43702076,14.625
2452375.43762076,14.624
2452375.43821076,14.704
2452375.4388207598,14.727
2452375.43941076,14.634
2452375.44001076,14.681
2452375.44060076,14.684
2452375.44121076,14.615
2452375.44182076,14.67
2452375.44242076,14.656
2452375.44302076,14.708
2452375.44362076,14.698
2452375.44423076,14.684
2452375.44483076,14.626
2452375.44543076,14.749
2452375.44603076,14.737
2452375.44663076,14.686
2452375.44724076,14.65
2452375.44785076,14.601
2452375.44844076,14.728
2452375.44904076,14.682
2452375.44964076,14.767
2452375.45024076,14.682
2452375.45087076,14.66
2452375.45147076,14.647
2452378.37505076,15.029
2452378.37578076,14.996
2452378.37651076,14.958
2452378.37721076,15.042
2452378.37793076,14.93
2452378.37866076,14.95
2452378.37938076,14.949
2452378.38009076,14.938
2452378.38081076,14.956
2452378.38153076,15.004
2452378.38226076,15.052
2452378.38299076,14.99
2452378.38371076,15.064
2452378.38443076,14.994
2452378.38515076,14.99
2452378.38588076,15.01
2452378.38660076,15.037
2452378.38732076,14.955
2452378.38803076,15.016
2452378.38876076,15.011
2452378.38948076,14.973
2452378.39020076,14.967
2452378.39092076,15.029
2452378.39162076,15.045
2452378.39234076,14.987
2452378.39306076,15.093
2452378.39379076,14.983
2452378.39450076,15.028
2452378.39523076,15.161
2452378.39595076,15.076
2452378.39666076,15.093
2452378.39739076,15.131
2452378.39810076,15.157
2452378.39882076,15.165
2452378.39954076,15.109
2452378.40026076,15.067
2452378.40099076,15.135
2452378.40170076,15.147
2452378.40243076,15.122
2452378.40314076,15.13
2452378.40387076,15.042
2452378.40458076,15.134
2452378.40530076,15.21
2452378.40603076,15.039
2452378.40675076,15.055
2452378.40747076,14.963
2452378.40818076,15.11
2452378.40890076,15.147
2452378.40962076,15.128
2452378.41035076,15.102
2452378.41107076,15.174
2452378.41177076,15.144
2452378.41249076,15.051
2452378.41322076,15.149
2452378.41394076,15.218
2452378.41465076,15.39
2452378.41538076,15.461
2452378.41610076,15.458
2452378.41683076,15.54
2452378.41755076,15.599
2452378.41827076,15.668
2452378.41899076,15.775
2452378.41971076,15.799
2452378.42043076,15.875
2452378.42115076,15.822
2452378.42186076,15.889
2452378.42259076,15.618
2452378.42331076,15.582
2452378.42403076,15.525
2452378.42475076,15.252
2452378.42546076,15.161
2452378.42618076,15.055
2452378.42690076,15.006
2452378.42763076,15.062
2452378.42835076,14.899
2452378.42906076,14.922
2452378.42978076,14.804
2452378.43050076,14.829
2452378.43123076,14.739
2452378.43195076,14.744
2452378.43265076,14.768
2452378.43337076,14.843
2452378.43410076,14.769
2452378.43482076,14.827
2452378.43553076,14.787
2452378.43625076,14.675
2452378.43697076,14.73
2452378.43770076,14.727
2452378.43842076,14.743
2452378.43913076,14.751
2452378.43985076,14.816
2452378.44057076,14.83
2452378.44129076,14.808
2452378.4420007598,14.78
2452378.44273076,14.866
2452378.44345076,14.839
2452378.44417076,14.777
2452378.44490076,14.758
2452378.44561076,14.803
2452378.44633076,14.849
2452378.44705076,14.817
2452378.44777076,14.832
2452378.44850076,14.856
2452378.44921076,14.871
2452378.44993076,14.901
2452378.45066076,14.939
2452378.45138076,14.882
2452378.45210076,14.889
2452378.45281076,14.883
2452378.45353076,14.799
2452378.45426076,14.78
2452378.45498076,14.844
2452378.45570076,14.954
2452378.45641076,14.895
2452378.45713076,14.983
2452378.45786076,14.911
2452378.45858076,15.011
2452378.45930076,14.974
2452378.46002076,14.962
2452378.46074076,14.933
2452378.46146076,14.944
2452378.46219076,14.994
2452378.46291076,14.94
2452378.46362076,14.936
2452378.46435076,14.888
2452378.46507076,14.912
2452378.46579076,14.824
2452378.46651076,14.817
2452378.46794076,14.853
2452378.46866076,14.876
2452378.47011076,14.774
2452378.47369076,14.83
2452378.47586076,14.893
2452378.47658076,14.882
2452378.47729076,15.003
2452378.4780207598,15.055
2452378.47874076,14.919
2452378.47945076,14.976
2452378.48018076,15.124
2452378.48089076,14.995
2452378.48161076,14.965
2453902.433800747,<16.2
2454042.742800724,<15.6
2454050.7448007255,<16.2
2454112.413800744,<16.2
2454121.6438007466,<16.2
