time,flux
1697.5941011704683,1357.8318
1697.5954900595734,1359.3123
1697.5968789486778,1327.1954
1697.59965672688,1291.0762
1697.601045615977,1288.5936
1697.6024345050737,1297.6477
1697.6038233941704,1296.7532
1697.6052122832684,1310.03
1697.6066011723583,1320.2777
1697.607990061455,1319.0378
1697.6093789505453,1349.7681
1697.6107678396352,1380.4344
1697.6121567287182,1432.6082
1697.613545617808,1472.963
1697.614934506891,1490.368
1697.6163233959728,1515.8124
1697.617712285055,1508.7412
1697.619101174138,1491.0897
1697.6204900632206,1491.7922
1697.6218789522964,1491.0043
1697.623267841379,1493.2689
1697.6246567304545,1489.5095
1697.6260456195291,1479.3999
1697.627434508604,1482.8489
1697.628823397673,1484.0977
1697.6302122867487,1485.3458
1697.6316011758165,1516.9561
1697.6329900648843,1535.1699
1697.6343789539524,1548.9642
1697.63576784302,1545.7917
1697.6371567320812,1557.2251
1697.63854562115,1554.8539
1697.6399345102104,1570.4878
1697.6413233992705,1571.4686
1697.6427122883315,1559.2666
1697.6441011773932,1565.8918
1697.6454900664469,1564.3347
1697.646878955507,1543.7662
1697.648267844561,1521.9889
1697.6496567336137,1523.4104
1697.6510456226663,1512.3848
1697.652434511721,1492.8551
1697.6538234007676,1494.6469
1697.6552122898206,1476.0726
1697.6566011788668,1458.0077
1697.6579900679135,1462.1206
1697.659378956959,1433.8859
1697.6607678460057,1437.8109
1697.6621567350526,1458.8975
1697.663545624091,1450.458
1697.6649345131368,1449.6127
1697.6663234021755,1436.3569
1697.6677122912156,1442.324
1697.6691011802548,1436.5757
1697.670490069293,1445.5122
1697.6718789583251,1466.1896
1697.6732678473636,1456.3475
1697.6746567363948,1458.8199
1697.6760456254274,1446.4156
1697.6774345144595,1466.4116
1697.6788234034907,1484.7854
1697.680212292522,1509.5978
1697.681601181554,1511.8025
1697.682990070578,1523.9121
1697.6843789596023,1501.5264
1697.6857678486276,1544.7693
1697.6871567376515,1533.6259
1697.6885456266757,1516.9243
1697.6899345157,1507.4663
1697.6913234047247,1493.2063
1697.6927122937418,1475.1123
1697.6941011827594,1472.7384
1697.6954900717838,1468.5302
1697.6968789608004,1495.9767
1697.698267849817,1506.1798
1697.6996567388278,1492.718
1697.7010456278458,1484.1456
1697.7024345168552,1486.3595
1697.7038234058716,1457.9487
1697.7052122948817,1473.0453
1697.706601183891,1476.5156
1697.7079900729009,1497.3209
1697.7093789619116,1541.6969
1697.710767850921,1563.2173
1697.712156739923,1528.5648
1697.713545628926,1494.8323
1697.714934517936,1451.1577
1697.7163234069385,1437.6016
1697.7177122959415,1478.2914
1697.719101184944,1502.0708
1697.7204900739462,1474.0356
1697.721878962941,1444.0453
1697.7232678519435,1427.4178
1697.7246567409395,1427.933
1697.7260456299427,1390.678
1697.7274345189376,1367.6576
1697.7288234079329,1359.2527
1697.7302122969277,1335.5481
1697.731601185923,1372.6398
1697.732990074912,1369.058
1697.7343789639076,1393.6504
1697.7357678528952,1420.0864
1697.73715674189,1407.7982
1697.738545630878,1409.5211
1697.7399345198662,1385.74
1697.7413234088544,1386.6732
1697.7427122978424,1368.3011
1697.7441011868227,1371.3199
1697.7454900758105,1376.7559
1697.7468789647914,1366.9042
1697.7482678537804,1341.1439
1697.749656742761,1305.9971
1697.7538234097024,1156.2734
1697.7552122986826,1095.1349
1697.7566011876645,1038.0629
1697.7579900766386,965.45312
1697.759378965619,890.15027
1697.760767854592,823.77356
1697.7621567435654,742.89575
1697.7649345215127,540.41138
1697.7663234104866,453.60416
1697.76771229946,367.25366
1697.769101188433,319.24228
1697.7704900773988,306.41809
1697.7718789663732,309.4512
1697.773267855339,342.05325
1697.7746567443123,387.88089
1697.7760456332787,428.24661
1697.7774345222442,503.65585
1697.77882341121,570.81836
1697.780212300177,640.31378
1697.781601189144,706.28888
1697.7829900781026,798.58069
1697.7843789670685,886.13892
1697.7857678560274,972.00592
