,time
65312,2547.575588506295
65313,2547.5769774299556
65314,2547.5783663540833
65315,2547.579755278211
65316,2547.5811442018726
65317,2547.582533126
65318,2547.5839220496614
65319,2547.5853109737886
65320,2547.5866998974493
65321,2547.5880888215765
65322,2547.589477745238
65323,2547.5908666693654
65324,2547.5922555930265
65325,2547.5936445166876
65326,2547.595033440815
65327,2547.5964223644764
65328,2547.5978112886037
65329,2547.5992002122653
65330,2547.600589135927
65331,2547.601978060053
65332,2547.6033669837147
65333,2547.604755907842
65334,2547.6061448315036
65335,2547.607533755165
65336,2547.6089226792924
65337,2547.6103116029544
65338,2547.611700526616
65339,2547.613089450743
65340,2547.6144783744044
65341,2547.615867298066
65342,2547.6172562217275
65343,2547.618645145854
65344,2547.6200340695154
65345,2547.621422993177
65346,2547.6228119168386
65347,2547.624200840965
65348,2547.6255897646265
65349,2547.626978688288
65350,2547.6283676119497
65351,2547.6297565356113
65352,2547.631145459273
65353,2547.6325343833996
65354,2547.6339233070607
65355,2547.6353122307223
65356,2547.636701154385
65357,2547.6380900780464
65358,2547.6394790017075
65359,2547.640867925369
65360,2547.642256849031
65361,2547.643645772692
65362,2547.645034696819
65363,2547.6464236204806
65364,2547.647812544142
65365,2547.649201467803
65366,2547.650590391465
65367,2547.6519793151265
65368,2547.6533682387876
65369,2547.6547571624483
65370,2547.6561460861103
65371,2547.6575350097723
65372,2547.658923933433
65373,2547.6603128570946
65374,2547.6617017802905
65375,2547.663090703952
65376,2547.6644796276137
65377,2547.665868551276
65378,2547.6672574749377
65379,2547.6686463985984
65380,2547.67003532226
65381,2547.6714242459216
65382,2547.672813169583
65383,2547.674202092778
65384,2547.67559101644
65385,2547.6769799401022
65386,2547.678368863763
65387,2547.6797577874236
65388,2547.68114671062
65389,2547.682535634282
65390,2547.6839245579426
65391,2547.6853134816038
65392,2547.6867024052654
65393,2547.6880913284617
65394,2547.6894802521224
65395,2547.6908691757844
65396,2547.6922580989803
65397,2547.693647022642
65398,2547.695035946304
65399,2547.6964248695
65400,2547.6978137931615
65401,2547.699202716822
65402,2547.700591640018
65403,2547.7019805636796
65404,2547.703369487341
65405,2547.7047584105367
65406,2547.7061473341982
65407,2547.7075362578603
65408,2547.7089251810553
65409,2547.710314104717
65410,2547.711703027913
65411,2547.7130919515744
65412,2547.7144808747694
65413,2547.7158697984314
65414,2547.717258721628
65415,2547.7186476452885
65416,2547.7200365684835
65417,2547.7214254921455
65418,2547.7228144153423
65419,2547.7242033390044
65420,2547.7255922621994
65421,2547.726981185861
65422,2547.728370109057
65423,2547.7297590327184
65424,2547.7311479559144
65425,2547.7325368791103
65426,2547.733925802771
65427,2547.735314725967
65428,2547.7367036496285
65429,2547.7380925728244
65430,2547.7394814960194
65431,2547.740870419681
65432,2547.742259342877
65433,2547.743648266073
65434,2547.745037189734
65435,2547.74642611293
65436,2547.747815036126
65437,2547.749203959321
65438,2547.7505928829823
65439,2547.7519818061787
65440,2547.7533707293755
65441,2547.754759653037
65442,2547.756148576232
65443,2547.757537499428
65444,2547.758926422624
65445,2547.76031534582
65446,2547.7617042694815
65447,2547.7630931926774
65448,2547.764482115873
65449,2547.7658710390683
65450,2547.7672599622642
65451,2547.76864888546
65452,2547.770037808656
65453,2547.7714267323167
65454,2547.7728156555127
65455,2547.7742045787086
65456,2547.7755935019045
65457,2547.7769824251004
65458,2547.7783713482963
65459,2547.7797602714923
65460,2547.781149194688
65461,2547.7825381178845
65462,2547.7839270410805
65463,2547.785315964276
65464,2547.786704887471
65465,2547.7880938106673
65466,2547.7894827338637
65467,2547.7908716570587
65468,2547.7922605802546
65469,2547.7936495034505
65470,2547.7950384266464
65471,2547.7964273498415
65472,2547.7978162730374
65473,2547.7992051962333
65474,2547.800594119429
65475,2547.8019830421586
65476,2547.803371965355
65477,2547.804760888551
65478,2547.8061498117463
65479,2547.807538734942
65480,2547.808927658139
65481,2547.810316581335
65482,2547.8117055040643
65483,2547.8130944272607
65484,2547.814483350457
65485,2547.815872273652
65486,2547.817261196848
65487,2547.8186501195783
65488,2547.820039042774
65489,2547.821427965969
65490,2547.8228168887
65491,2547.824205811896
65492,2547.8255947350913
65493,2547.8269836582863
65494,2547.828372581017
65495,2547.8297615042134
65496,2547.8311504274084
65497,2547.8325393501386
65498,2547.8339282733345
65499,2547.8353171965305
65500,2547.83670611926
65501,2547.8380950424566
65502,2547.839483965188
65503,2547.840872888383
65504,2547.8422618115787
65505,2547.843650734309
65506,2547.845039657505
65507,2547.8464285802343
65508,2547.8478175034306
65509,2547.8492064261613
65510,2547.8505953493564
65511,2547.8519842720857
65512,2547.853373195282
65513,2547.854762118013
65514,2547.856151041208
65515,2547.8575399639376
65516,2547.8589288871335
65517,2547.8603178098642
65518,2547.8617067330592
65519,2547.86309565579
65520,2547.86448457852
65521,2547.865873501716
65522,2547.867262424447
65523,2547.8686513476428
65524,2547.870040270373
65525,2547.8714291931024
65526,2547.8728181162983
65527,2547.8742070390285
65528,2547.875595961759
65529,2547.8769848849543
65530,2547.8783738076845
65531,2547.879762730415
65532,2547.8811516536102
65533,2547.8825405763405
65534,2547.8839294990707
65535,2547.885318421801
65536,2547.886707344996
65537,2547.8880962677267
65538,2547.8894851904574
65539,2547.890874113187
65540,2547.892263036382
65541,2547.8936519591125
65542,2547.8950408818437
65543,2547.896429804574
65544,2547.8978187273037
65545,2547.899207650034
65546,2547.90059657323
65547,2547.90198549596
65548,2547.9033744186904
65549,2547.9047633414207
65550,2547.90615226415
65551,2547.9075411868803
65552,2547.9089301096105
65553,2547.910319032341
65554,2547.91170795507
65555,2547.9130968778004
65556,2547.9144858005307
65557,2547.915874723261
65558,2547.9172636459907
65559,2547.918652568721
65560,2547.9200414914517
65561,2547.921430414181
65562,2547.922819336911
65563,2547.9242082596415
65564,2547.9255971823727
65565,2547.926986105103
65566,2547.9283750278323
65567,2547.9297639505626
65568,2547.931152873293
65569,2547.932541796023
65570,2547.9339307187533
65571,2547.9353196414836
65572,2547.9367085637477
65573,2547.9380974864775
65574,2547.939486409208
65575,2547.940875331938
65576,2547.9422642546683
65577,2547.9436531773977
65578,2547.9450420996623
65579,2547.9464310223925
65580,2547.947819945123
65581,2547.949208867853
65582,2547.9505977905833
65583,2547.951986712848
65584,2547.953375635578
65585,2547.954764558309
65586,2547.956153481039
65587,2547.9575424033033
65588,2547.9589313260335
65589,2547.9603202487638
65590,2547.9617091710284
65591,2547.9630980937577
65592,2547.964487016488
65593,2547.9658759387526
65594,2547.967264861483
65595,2547.968653784212
65596,2547.9700427064768
65597,2547.971431629207
65598,2547.9728205514716
65599,2547.974209474202
65600,2547.9755983964665
65601,2547.9769873191963
65602,2547.978376241926
65603,2547.9797651641907
65604,2547.981154086922
65605,2547.9825430091864
65606,2547.983931931916
65607,2547.985320854181
65608,2547.9867097769115
65609,2547.988098699175
65610,2547.9894876219055
65611,2547.99087654417
65612,2547.9922654664347
65613,2547.993654389164
65614,2547.995043311429
65615,2547.9964322341593
65616,2547.9978211564235
65617,2547.999210079153
65618,2548.000599001418
65619,2548.001987923683
65620,2548.0033768464123
65621,2548.004765768677
65622,2548.0061546909415
65623,2548.0075436136717
65624,2548.0089325359354
65625,2548.010321458201
65626,2548.011710380932
65627,2548.0130993031958
65628,2548.0144882254604
65629,2548.015877147725
65630,2548.017266070455
65631,2548.018654992719
65632,2548.020043914984
65633,2548.021432837249
65634,2548.0228217599783
65635,2548.024210682242
65636,2548.025599604507
65637,2548.026988526772
65638,2548.028377449036
65639,2548.0297663713004
65640,2548.0311552940307
65641,2548.0325442162953
65642,2548.033933138559
65643,2548.035322060824
65644,2548.0367109830886
65645,2548.038099905353
65646,2548.0394888276182
65647,2548.040877749883
65648,2548.0422666721474
65649,2548.043655594411
65650,2548.045044517142
65651,2548.046433439407
65652,2548.0478223616706
65653,2548.0492112839347
