JD,Magnitude
2451869.354400728,15.5
2451869.3553007278,15.41
2451869.3562007276,15.39
2451869.3570007277,15.33
2451869.357900728,15.45
2451869.358700728,15.4
2451869.359600728,15.37
2451869.360400728,15.33
2451869.361200728,15.42
2451869.362100728,15.41
2451869.3630007277,15.37
2451869.3638007278,15.34
2451869.364700728,15.38
2451869.3655007277,15.36
2451869.3663007277,15.42
2451869.367200728,15.51
2451869.368000728,15.42
2451869.368900728,15.48
2451869.369700728,15.56
2451869.370600728,15.55
2451869.371400728,15.61
2451869.3723007278,15.73
2451869.373100728,15.85
2451869.3740007277,15.88
2451869.3748007277,15.9
2451869.375700728,15.86
2451869.376500728,16.16
2451869.377400728,16.28
2451869.378200728,16.19
2451869.379100728,16.21
2451869.379900728,16.05
2451869.3808007278,15.9
2451869.381600728,15.78
2451869.382400728,15.71
2451869.3833007277,15.66
2451869.3841007277,15.67
2451869.385000728,15.66
2451869.385900728,15.61
2451869.386800728,15.51
2451869.387600728,15.45
2451869.3885007277,15.53
2451869.3893007278,15.49
2451869.390200728,15.5
2451869.3910007277,15.46
2451869.391900728,15.43
2451869.392700728,15.46
2451869.393500728,15.5
2451869.394400728,15.49
2451869.395300728,15.56
2451869.396100728,15.62
2451869.3970007277,15.58
2451869.3978007277,15.54
2451869.398700728,15.61
2451869.3995007277,15.59
2451869.400400728,15.52
2451869.401200728,15.56
2451869.402100728,15.51
2451869.402900728,15.47
2451869.403700728,15.48
2451869.404600728,15.42
2451869.405400728,15.46
2451869.4063007277,15.51
2451869.407200728,15.38
2451869.4080007276,15.29
2451869.408900728,15.42
2451869.410600728,15.31
2451869.411400728,15.44
2451869.412300728,15.34
2451869.413100728,15.37
2451869.4140007277,15.2
2451869.4148007277,15.36
2451869.415700728,15.31
2451869.4165007276,15.25
2451869.417400728,15.39
2451869.418200728,15.39
2451869.419100728,15.28
2451869.419900728,15.43
2451869.420700728,15.37
2451869.421600728,15.35
2451869.422400728,15.41
2451869.4233007277,15.37
2451869.424100728,15.35
2451869.4250007276,15.38
2451869.4258007277,15.43
2451869.426700728,15.43
2451869.427500728,15.5
2451869.428400728,15.49
2451869.429200728,15.5
2451869.430100728,15.44
2451869.430900728,15.43
2451869.4318007277,15.52
2451869.432600728,15.47
2451869.4335007276,15.51
2451869.4343007277,15.51
2451869.435200728,15.54
2451869.436000728,15.51
2451869.436900728,15.59
2451869.437700728,15.54
2451869.438600728,15.45
2451869.439400728,15.46
2451869.4403007277,15.46
2451869.4411007278,15.5
2451869.4420007276,15.54
2451869.4428007277,15.5
2451869.443700728,15.51
2451869.444500728,15.66
2451869.445400728,15.66
2451869.446200728,15.71
2451869.447100728,15.6
2451869.447900728,15.57
2451869.4488007277,15.55
2451869.4496007278,15.45
2451869.450500728,15.48
2451869.4513007277,15.51
