time,flux
119.9999526143074,388.3845
119.99999284744263,388.09143
119.9999526143074,388.89188
119.99999284744263,389.663
119.9999526143074,396.88898
119.99999284744263,409.48395
119.9999526143074,408.32504
119.99999284744263,415.17535
119.9999526143074,420.4597
119.99999284744263,420.52847
119.9999526143074,440.29407
239.99994546175003,440.4821
359.99989807605743,429.86267
119.99999284744263,457.24088
119.9999526143074,470.3894
119.99999284744263,472.11816
119.9999526143074,476.5182
119.99999284744263,481.9657
119.9999526143074,472.68414
119.9999526143074,480.3456
239.99994546175003,475.37537
119.99999284744263,482.76117
119.9999526143074,491.40826
119.99999284744263,486.62967
119.9999526143074,493.49783
119.9999526143074,492.27533
119.99999284744263,495.7062
119.9999526143074,482.89258
119.99999284744263,487.00412
119.9999526143074,483.39923
119.9999526143074,490.3594
119.99999284744263,491.02844
119.9999526143074,490.42374
119.99999284744263,484.92316
119.9999526143074,474.05618
119.9999526143074,475.20297
119.99999284744263,479.04276
119.9999526143074,480.81467
119.99999284744263,469.628
119.9999526143074,483.04398
119.9999526143074,478.29663
119.99999284744263,488.42746
119.9999526143074,476.61594
119.99999284744263,465.742
119.9999526143074,464.05505
119.9999526143074,456.34756
119.99999284744263,458.0649
119.9999526143074,450.9556
119.9999526143074,451.41025
119.99999284744263,429.63013
119.9999526143074,411.70493
119.99999284744263,356.8005
119.9999526143074,314.61807
119.9999526143074,281.89853
119.99999284744263,266.566
119.9999526143074,256.79276
119.9999526143074,245.39394
119.99999284744263,240.78664
119.9999526143074,234.15556
119.9999526143074,239.05742
119.99999284744263,242.20416
119.9999526143074,244.38997
119.9999526143074,243.08841
119.99999284744263,258.9454
119.9999526143074,262.1601
119.9999526143074,269.11154
119.99999284744263,294.59634
119.9999526143074,306.6096
119.99999284744263,339.2633
119.9999526143074,356.6528
119.9999526143074,361.415
119.9999526143074,379.20233
119.99999284744263,377.57916
119.9999526143074,378.7596
119.9999526143074,390.98175
119.99999284744263,391.62363
119.9999526143074,396.49164
119.9999526143074,407.18842
119.99999284744263,401.58038
119.9999526143074,399.33557
119.9999526143074,404.53403
119.99999284744263,397.79294
119.9999526143074,406.43118
119.9999526143074,407.31784
239.99994546175003,405.30643
119.9999526143074,412.85605
119.99999284744263,413.1792
119.9999526143074,405.76962
119.9999526143074,422.1587
119.9999526143074,412.49255
119.99999284744263,408.50833
119.9999526143074,409.96304
119.9999526143074,413.8046
119.99999284744263,411.7205
119.9999526143074,410.36328
119.9999526143074,400.55972
119.9999526143074,406.4767
119.99999284744263,408.61142
119.9999526143074,411.1981
119.9999526143074,407.9303
119.99999284744263,417.4505
119.9999526143074,410.41306
119.9999526143074,407.8017
119.9999526143074,399.65842
119.99999284744263,403.6178
119.9999526143074,397.76797
119.9999526143074,386.57764
119.99999284744263,393.4689
119.9999526143074,387.39307
119.9999526143074,387.80365
119.9999526143074,380.55408
119.99999284744263,385.44684
119.9999526143074,371.32712
119.9999526143074,376.6583
119.9999526143074,368.7603
119.99999284744263,377.87643
119.9999526143074,370.95566
119.9999526143074,367.16992
119.9999526143074,358.9699
119.99999284744263,366.85602
119.9999526143074,362.11124
119.9999526143074,357.9994
119.9999526143074,339.49817
119.99999284744263,344.84973
119.9999526143074,350.48523
119.9999526143074,341.6488
119.9999526143074,345.66592
119.99999284744263,341.2472
119.9999526143074,335.94327
119.9999526143074,330.79877
119.9999526143074,338.13034
119.99999284744263,338.04373
119.9999526143074,339.01904
119.9999526143074,330.79587
119.9999526143074,331.51212
119.99999284744263,334.46164
119.9999526143074,341.2259
119.9999526143074,349.41168
119.9999526143074,350.2111
119.9999526143074,357.0149
119.99999284744263,364.53955
119.9999526143074,361.8543
119.9999526143074,375.82382
119.9999526143074,368.19037
119.99999284744263,366.34964
119.9999526143074,367.4039
119.9999526143074,390.4637
119.9999526143074,392.37158
119.9999526143074,397.00378
119.99999284744263,393.29742
119.9999526143074,398.30475
119.9999526143074,410.06686
119.9999526143074,397.53336
119.99999284744263,418.9425
119.9999526143074,415.1985
119.9999526143074,418.66394
119.9999526143074,433.01566
119.9999526143074,424.84332
119.99999284744263,428.59088
119.9999526143074,444.27866
119.9999526143074,445.85574
119.9999526143074,454.40045
119.9999526143074,447.3691
119.99999284744263,445.21436
119.9999526143074,458.98257
119.9999526143074,464.59705
119.9999526143074,464.09592
119.9999526143074,467.85117
119.99999284744263,468.27365
119.9999526143074,467.12405
119.9999526143074,479.9519
119.9999526143074,468.95554
119.9999526143074,459.37207
119.99999284744263,463.04105
119.9999526143074,466.97595
119.9999526143074,465.54977
119.9999526143074,478.0212
119.9999526143074,468.74518
119.99999284744263,472.31015
119.9999526143074,464.9237
119.9999526143074,462.97177
119.9999526143074,463.49472
119.9999526143074,467.9949
119.9999526143074,474.4067
119.99999284744263,465.40903
119.9999526143074,463.92505
119.9999526143074,474.91873
119.9999526143074,465.31046
239.99994546175003,465.7837
119.9999526143074,467.06302
239.9999052286148,457.94012
479.99985069036484,459.6671
119.9999526143074,451.76434
119.9999526143074,444.84604
119.9999526143074,426.59695
119.9999526143074,418.82513
119.99999284744263,356.36188
119.9999526143074,314.4263
119.9999526143074,291.2339
119.9999526143074,277.73102
119.9999526143074,265.66852
119.9999526143074,252.92627
119.99999284744263,250.60722
119.9999526143074,245.49094
119.9999526143074,246.166
119.9999526143074,247.08905
119.9999526143074,236.18346
119.9999526143074,254.54901
119.99999284744263,246.16867
119.9999526143074,260.6272
119.9999526143074,271.83902
239.9999052286148,270.5014
119.9999526143074,310.36023
119.9999526143074,323.46106
119.99999284744263,340.0302
119.9999526143074,351.3008
119.9999526143074,342.93542
119.9999526143074,363.86053
119.9999526143074,372.12848
119.9999526143074,379.80746
119.9999526143074,377.03174
119.99999284744263,381.2585
119.9999526143074,382.4419
119.9999526143074,385.2396
119.9999526143074,376.8249
119.9999526143074,385.75165
119.9999526143074,381.67123
119.9999526143074,391.57492
119.99999284744263,405.31717
119.9999526143074,400.53845
119.9999526143074,397.44244
119.9999526143074,396.1182
119.9999526143074,403.50284
119.9999526143074,394.1289
119.9999526143074,396.9109
119.99999284744263,399.15402
119.9999526143074,400.55124
119.9999526143074,403.15277
119.9999526143074,403.36646
119.9999526143074,403.2079
119.9999526143074,397.9249
119.9999526143074,383.52872
119.99999284744263,390.0119
119.9999526143074,399.49777
119.9999526143074,382.8883
119.9999526143074,391.03244
119.9999526143074,389.78687
119.9999526143074,383.3912
119.9999526143074,386.05676
119.9999526143074,380.4917
119.99999284744263,382.11124
119.9999526143074,378.8031
119.9999526143074,385.93433
119.9999526143074,378.93057
119.9999526143074,370.38458
