JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2452438.941,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452440.9021,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452443.0667,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452443.9514,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452465.9368,<14.8,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452467.9167,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452469.9076,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452481.8806,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452482.8771,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452484.8917,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452485.8694,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452486.8903,<14.9,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452487.8847,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452492.8778,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452496.9444,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452512.8896,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452513.8854,<14.9,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452518.8882,<14.9,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
