E,C,O,O-C
-4482,1692.7350085707794,1692.7352413647238,0.00023279394440578471
-4481,1692.9449457764167,1692.945360267891,0.00041449147420280497
-4480,1693.154882982054,1693.1552803135207,0.0003973314667291561
-4479,1693.3648201876913,1693.3648212625924,1.074901092579239e-06
-4478,1693.5747573933286,1693.5745511063262,-0.00020628700235647557
-4477,1693.7846945989659,1693.7835956342572,-0.0010989647087171761
-4476,1693.9946318046034,1693.9930734265795,-0.0015583780239012412
-4475,1694.2045690102407,1694.202843837271,-0.001725172969599953
-4474,1694.4145062158782,1694.4131165850547,-0.0013896308234961907
-4473,1694.6244434215155,1694.6232434622852,-0.0011999592302345263
-4472,1694.8343806271528,1694.832782416078,-0.0015982110746790568
-4471,1695.04431783279,1695.0423352790508,-0.0019825537392534898
-4470,1695.2542550384273,1695.2522806297152,-0.001974408712158038
-4469,1695.4641922440646,1695.462430146358,-0.0017620977066599153
-4468,1695.674129449702,1695.6720997379991,-0.0020297117027894274
-4467,1695.8840666553394,1695.8821054464408,-0.0019612088985923037
-4466,1696.0940038609767,1696.0920086851777,-0.0019951757990384067
-4465,1696.303941066614,1696.3017587819427,-0.0021822846713348554
-4459,1697.563564300438,1697.561537589104,-0.0020267113338832132
-4458,1697.7735015060753,1697.771745099394,-0.0017564066813520185
-4457,1697.9834387117128,1697.9813649767875,-0.0020737349252613058
-4456,1698.19337591735,1698.1918071986827,-0.0015687186673858378
-4455,1698.4033131229876,1698.4013565663372,-0.0019565566503843
-4454,1698.6132503286249,1698.611786096112,-0.0014642325129443634
-4453,1698.8231875342622,1698.8211378104932,-0.0020497237690051406
-4452,1699.0331247398994,1699.030961096841,-0.0021636430583384936
-4451,1699.2430619455367,1699.241298935737,-0.0017630097997880512
-4450,1699.452999151174,1699.4509644219143,-0.0020347292597762134
-4449,1699.6629363568113,1699.6608222799155,-0.002114076895850303
-4448,1699.8728735624488,1699.8709940575973,-0.0018795048515585222
-4447,1700.0828107680861,1700.0807860807383,-0.002024687347784493
-4446,1700.2927479737234,1700.2908476523319,-0.001900321391531179
-4445,1700.502685179361,1700.500402299829,-0.00228287953200379
