E,C,O,O-C
-2437,1679.0864062343117,,
-2436,1679.4439037558386,,
-2435,1679.8014012773651,,
-2434,1680.158898798892,,
-2433,1680.5163963204186,,
-2432,1680.8738938419456,,
-2431,1681.2313913634723,,
-2430,1681.588888884999,,
-2429,1681.946386406526,,
-2428,1682.3038839280525,,
-2427,1682.6613814495795,,
-2426,1683.018878971106,,
-2425,1683.376376492633,,
-2424,1683.7338740141597,,
-2423,1684.0913715356864,,
-2422,1684.4488690572132,,
-2421,1684.80636657874,,
-2420,1685.163864100267,,
-2419,1685.5213616217934,,
-2418,1685.8788591433204,,
-2417,1686.236356664847,,
-2416,1686.5938541863738,,
-2415,1686.9513517079006,,
-2414,1687.3088492294273,,
-2413,1687.6663467509543,,
-2412,1688.0238442724808,,
-2411,1688.3813417940078,,
-2410,1688.7388393155345,,
-2409,1689.0963368370612,,
-2408,1689.453834358588,,
-2407,1689.8113318801147,,
-2406,1690.1688294016417,,
-2405,1690.5263269231682,,
-2404,1690.8838244446952,,
-2403,1691.241321966222,,
-2402,1691.5988194877486,,
-2401,1691.9563170092754,,
-2400,1692.3138145308021,,
-2399,1692.671312052329,,
-2398,1693.0288095738556,,
-2397,1693.3863070953826,,
-2396,1693.7438046169093,,
-2395,1694.101302138436,,
-2394,1694.4587996599628,,
-2393,1694.8162971814895,,
-2392,1695.1737947030165,,
-2391,1695.531292224543,,
-2390,1695.88878974607,,
-2389,1696.2462872675965,,
-2388,1696.6037847891234,,
-2387,1696.9612823106502,,
-2386,1697.318779832177,,
-2385,1697.6762773537039,,
-2384,1698.0337748752304,,
-2383,1698.3912723967574,,
-2382,1698.7487699182839,,
-2381,1699.1062674398108,,
-2380,1699.4637649613376,,
-2379,1699.8212624828643,,
-2378,1700.178760004391,,
-2377,1700.5362575259178,,
-2376,1700.8937550474448,,
-2375,1701.2512525689713,,
-2374,1701.6087500904982,,
-2373,1701.966247612025,,
-2372,1702.3237451335517,,
-2371,1702.6812426550784,,
-2370,1703.0387401766052,,
-2369,1703.3962376981322,,
-2368,1703.7537352196587,,
-2367,1704.1112327411856,,
-2366,1704.4687302627124,,
-2365,1704.826227784239,,
-2364,1705.1837253057658,,
-2363,1705.5412228272926,,
-2362,1705.8987203488196,,
-2361,1706.256217870346,,
-2360,1706.613715391873,,
-2359,1706.9712129133998,,
-2358,1707.3287104349265,,
-2357,1707.6862079564532,,
-2356,1708.04370547798,,
